first_name,middle_name,last_name,email_id,contry_code,phone_number,password,type
abc,pqr,mnc,abc@c.com,1,7878788778,Oneclick1@,5
as,a,,,,,,
ax,aq,qw,soyetoc781@lege4h.com,91,8777877878,Oneclick1@,9
ax,,,,91,8777877878,Oneclick1@,8
ax,aq,qw,soyetoc781@lege4h.com,91,8777877878,Oneclick1@,6
ax,aq,qw,mn1@c.com,91,8777877878,Oneclick1@,9
ax,aq,qw,abc@c.com,91,8777877878,Oneclick1@,9
ax,aq,qw,xyz,91,8777877878,Oneclick1@,9
ax,aq,qw,mbc@a.com,91,8777877878,Oneclick1@,5
ax,aq,qw,mbc@a.com,91,8777877878,Oneclick1@,5
mx,amnd,sds,gsktgys@wootap.me,,,Oneclick1@,8
12,,,siddharth.kimber@andyes.net,,,Oneclick1@,6
